"ID","SKU","Name (AR/EN)","Categories","Stock Status","Regular Price (SAR)","Sale Price (SAR)","Current Price (SAR)","Images","Permalink"
"3234","GM-CMP-NZX-001","NZXT H9 Elite Mid-Tower ATX Case","Hardware | أجهزة PC","instock","1349","","1349","https://neogen.store/wp-content/uploads/GM-CMP-NZX-001-1.jpg?wsr","https://neogen.store/product/nzxt-h9-elite-mid-tower-atx-case/"
"3233","GM-CMP-COR-001","Corsair iCUE H150i RGB Elite (360mm AIO)","Hardware | أجهزة PC","instock","1149","","1149","https://neogen.store/wp-content/uploads/GM-CMP-COR-001-1.jpg?wsr","https://neogen.store/product/corsair-icue-h150i-rgb-elite-360mm-aio/"
"3232","GM-GPU-GIG-001","Gigabyte AORUS RTX 5090 Master 32GB","Hardware | أجهزة PC","instock","27999","","27999","https://neogen.store/wp-content/uploads/GM-GPU-GIG-001-1.jpg?wsr","https://neogen.store/product/gigabyte-aorus-rtx-5090-master-32gb/"
"3231","GM-GPU-NVD-002","NVIDIA RTX 5080 Founders Edition (16GB)","Hardware | أجهزة PC","instock","6499","","6499","https://neogen.store/wp-content/uploads/GM-GPU-NVD-002-1.jpg?wsr","https://neogen.store/product/nvidia-rtx-5080-founders-edition-16gb/"
"3230","GM-GPU-NVD-001","NVIDIA RTX 5090 Founders Edition (32GB)","Hardware | أجهزة PC","instock","26449","22999","22999","https://neogen.store/wp-content/uploads/GM-GPU-NVD-001-1.jpg?wsr","https://neogen.store/product/nvidia-rtx-5090-founders-edition-32gb/"
"3229","GM-STR-HPX-001","HyperX QuadCast S USB Microphone","Gaming | ألعاب","instock","1099","949","949","https://neogen.store/wp-content/uploads/GM-STR-HPX-001-1.jpg?wsr","https://neogen.store/product/hyperx-quadcast-s-usb-microphone/"
"3228","GM-STR-ELG-001","Elgato Stream Deck MK.2","Gaming | ألعاب","instock","1099","949","949","https://neogen.store/wp-content/uploads/GM-STR-ELG-001-1.jpg?wsr","https://neogen.store/product/elgato-stream-deck-mk-2/"
"3227","GM-CAP-AVR-001","AVerMedia Live Gamer Ultra S","Gaming | ألعاب","instock","1049","","1049","https://neogen.store/wp-content/uploads/GM-CAP-AVR-001-1.jpg?wsr","https://neogen.store/product/avermedia-live-gamer-ultra-s/"
"3226","GM-CAP-ELG-001","Elgato HD60 X Capture Card","Gaming | ألعاب","instock","1099","","1099","https://neogen.store/wp-content/uploads/GM-CAP-ELG-001-1.jpg?wsr","https://neogen.store/product/elgato-hd60-x-capture-card/"
"3225","GM-CTR-SON-001","Sony DualSense Edge Controller","Gaming | ألعاب","instock","1559","1349","1349","https://neogen.store/wp-content/uploads/GM-CTR-SON-001-1.jpg?wsr","https://neogen.store/product/sony-dualsense-edge-controller/"
"3224","GM-CTR-MSF-001","Xbox Elite Controller Series 2 Core","Gaming | ألعاب","instock","1149","","1149","https://neogen.store/wp-content/uploads/GM-CTR-MSF-001-1.jpg?wsr","https://neogen.store/product/xbox-elite-controller-series-2-core/"
"3223","GM-RGB-GOV-001","Govee DreamView G1 Pro Gaming Light","Gaming | ألعاب","instock","749","","749","https://neogen.store/wp-content/uploads/GM-RGB-GOV-001-1.jpg?wsr","https://neogen.store/product/govee-dreamview-g1-pro-gaming-light/"
"3222","GM-RGB-COR-001","Corsair iCUE LC100 Lighting Panels","Gaming | ألعاب","instock","549","","549","https://neogen.store/wp-content/uploads/GM-RGB-COR-001-1.jpg?wsr","https://neogen.store/product/corsair-icue-lc100-lighting-panels/"
"3221","GM-CHR-RAZ-001","Razer Iskur V2 NewGen","Gaming | ألعاب","instock","3199","","3199","https://neogen.store/wp-content/uploads/GM-CHR-RAZ-001-1.jpg?wsr","https://neogen.store/product/razer-iskur-v2-newgen/"
"3220","GM-CHR-SEC-001","Secretlab Titan Evo","Gaming | ألعاب","instock","3499","","3499","https://neogen.store/wp-content/uploads/GM-CHR-SEC-001-1.jpg?wsr","https://neogen.store/product/secretlab-titan-evo/"
"3219","GM-HST-RAZ-001","Razer BlackShark V2 Pro 2023","Gaming | ألعاب","instock","1149","999","999","https://neogen.store/wp-content/uploads/GM-HST-RAZ-001-1.jpg?wsr","https://neogen.store/product/razer-blackshark-v2-pro-2023/"
"3218","GM-HST-STS-001","SteelSeries Arctis Nova 7 Wireless","Gaming | ألعاب","instock","1149","","1149","https://neogen.store/wp-content/uploads/GM-HST-STS-001-1.jpg?wsr","https://neogen.store/product/steelseries-arctis-nova-7-wireless/"
"3217","GM-HST-HPX-001","HyperX Cloud Alpha Wireless (300hr)","Gaming | ألعاب","instock","1199","","1199","https://neogen.store/wp-content/uploads/GM-HST-HPX-001-1.jpg?wsr","https://neogen.store/product/hyperx-cloud-alpha-wireless-300hr/"
"3216","GM-MOU-RAZ-002","Razer Viper V3 Pro (54g Wireless)","Gaming | ألعاب","instock","1209","1049","1049","https://neogen.store/wp-content/uploads/GM-MOU-RAZ-002-1.jpg?wsr","https://neogen.store/product/razer-viper-v3-pro-54g-wireless/"
"3215","GM-MOU-LOG-001","Logitech G Pro X Superlight 2 DEX","Gaming | ألعاب","instock","1099","","1099","https://neogen.store/wp-content/uploads/GM-MOU-LOG-001-1.jpg?wsr","https://neogen.store/product/logitech-g-pro-x-superlight-2-dex/"
"3214","GM-MOU-RAZ-001","Razer DeathAdder V4 Pro (57g Wireless)","Gaming | ألعاب","instock","1329","1149","1149","https://neogen.store/wp-content/uploads/GM-MOU-RAZ-001-1.jpg?wsr","https://neogen.store/product/razer-deathadder-v4-pro-57g-wireless/"
"3213","GM-KBD-KEY-001","Keychron K10 HE (Arabic Layout)","Gaming | ألعاب","instock","1149","999","999","https://neogen.store/wp-content/uploads/GM-KBD-KEY-001-1.jpg?wsr","https://neogen.store/product/keychron-k10-he-arabic-layout/"
"3212","GM-KBD-LOG-001","Logitech G Pro X TKL LIGHTSPEED","Gaming | ألعاب","instock","1379","1199","1199","https://neogen.store/wp-content/uploads/GM-KBD-LOG-001-1.jpg?wsr","https://neogen.store/product/logitech-g-pro-x-tkl-lightspeed/"
"3211","GM-KBD-COR-001","Corsair K70 MAX RGB","Gaming | ألعاب","instock","1299","","1299","https://neogen.store/wp-content/uploads/GM-KBD-COR-001-1.jpg?wsr","https://neogen.store/product/corsair-k70-max-rgb/"
"3210","GM-KBD-RAZ-001","Razer Huntsman V3 Pro TKL","Gaming | ألعاب","instock","1559","1349","1349","https://neogen.store/wp-content/uploads/GM-KBD-RAZ-001-1.jpg?wsr","https://neogen.store/product/razer-huntsman-v3-pro-tkl/"
"3209","GM-MON-DEL-001","Dell Alienware AW2725DF (27"" QD-OLED 360Hz)","Gaming | ألعاب","instock","5599","","5599","https://neogen.store/wp-content/uploads/GM-MON-DEL-001-1.jpg?wsr","https://neogen.store/product/dell-alienware-aw2725df-27-qd-oled-360hz/"
"3208","GM-MON-LGE-001","LG UltraGear OLED 27GR95QE-B (27"" QHD 240Hz)","Gaming | ألعاب","instock","5639","4899","4899","https://neogen.store/wp-content/uploads/GM-MON-LGE-001-1.jpg?wsr","https://neogen.store/product/lg-ultragear-oled-27gr95qe-b-27-qhd-240hz/"
"3207","GM-MON-SAM-002","Samsung Odyssey G7 G70D (32"" 4K 144Hz)","Gaming | ألعاب","instock","3499","","3499","https://neogen.store/wp-content/uploads/GM-MON-SAM-002-1.jpg?wsr","https://neogen.store/product/samsung-odyssey-g7-g70d-32-4k-144hz/"
"3206","GM-MON-SAM-001","Samsung Odyssey OLED G8 (34"" UWQHD 175Hz)","Gaming | ألعاب","instock","7799","","7799","https://neogen.store/wp-content/uploads/GM-MON-SAM-001-1.jpg?wsr","https://neogen.store/product/samsung-odyssey-oled-g8-34-uwqhd-175hz/"
"3205","GM-MON-ASU-001","ASUS ROG Swift OLED PG27AQDM (27"" QHD 240Hz)","Gaming | ألعاب","instock","6209","5399","5399","https://neogen.store/wp-content/uploads/GM-MON-ASU-001-1.jpg?wsr","https://neogen.store/product/asus-rog-swift-oled-pg27aqdm-27-qhd-240hz/"
"3204","NT-MPC-DEL-001","Dell OptiPlex 7070 Micro (Refurb)","Homelab | هوم لاب","instock","1549","","1549","https://neogen.store/wp-content/uploads/NT-MPC-DEL-001-1.jpg?wsr","https://neogen.store/product/dell-optiplex-7070-micro-refurb/"
"3203","NT-MPC-BLK-002","Beelink EQ12 (Intel N100)","Homelab | هوم لاب","instock","999","","999","https://neogen.store/wp-content/uploads/NT-MPC-BLK-002-1.jpg?wsr","https://neogen.store/product/beelink-eq12-intel-n100/"
"3202","NT-MPC-BLK-001","Beelink SER7 (Ryzen 7 7735HS)","Homelab | هوم لاب","instock","2399","","2399","https://neogen.store/wp-content/uploads/NT-MPC-BLK-001-1.jpg?wsr","https://neogen.store/product/beelink-ser7-ryzen-7-7735hs/"
"3201","NT-MPC-MNF-001","MinisForum MS-01 (Homelab Server)","Homelab | هوم لاب","instock","4599","3999","3999","https://neogen.store/wp-content/uploads/NT-MPC-MNF-001-1.jpg?wsr","https://neogen.store/product/minisforum-ms-01-homelab-server/"
"3200","NT-POE-TPL-001","TP-Link TL-SG1005P 5-Port PoE","Networking | شبكات واتصالات","instock","299","","299","https://neogen.store/wp-content/uploads/NT-POE-TPL-001-1.jpg?wsr","https://neogen.store/product/tp-link-tl-sg1005p-5-port-poe/"
"3199","NT-POE-UBQ-001","Ubiquiti USW-Lite-8-PoE","Networking | شبكات واتصالات","instock","849","","849","https://neogen.store/wp-content/uploads/NT-POE-UBQ-001-1.jpg?wsr","https://neogen.store/product/ubiquiti-usw-lite-8-poe/"
"3198","NT-KVM-ATN-001","ATEN CS1924M 4-Port DP KVM","Homelab | هوم لاب","instock","2399","","2399","https://neogen.store/wp-content/uploads/NT-KVM-ATN-001-1.jpg?wsr","https://neogen.store/product/aten-cs1924m-4-port-dp-kvm/"
"3197","NT-KVM-TES-001","TESmart HKS0401A1U 4-Port HDMI KVM","Homelab | هوم لاب","instock","689","599","599","https://neogen.store/wp-content/uploads/NT-KVM-TES-001-1.jpg?wsr","https://neogen.store/product/tesmart-hks0401a1u-4-port-hdmi-kvm/"
"3196","NT-FWL-FTN-001","Fortinet FortiGate 60F","Homelab | هوم لاب","instock","6329","5499","5499","https://neogen.store/wp-content/uploads/NT-FWL-FTN-001-1.jpg?wsr","https://neogen.store/product/fortinet-fortigate-60f/"
"3195","NT-FWL-NGT-002","Netgate 2100 MAX pfSense+ Gateway","Homelab | هوم لاب","instock","2499","","2499","https://neogen.store/wp-content/uploads/NT-FWL-NGT-002-1.jpg?wsr","https://neogen.store/product/netgate-2100-max-pfsense-gateway/"
"3194","NT-FWL-NGT-001","Netgate 4200 MAX pfSense+ Gateway","Homelab | هوم لاب","instock","3399","","3399","https://neogen.store/wp-content/uploads/NT-FWL-NGT-001-1.jpg?wsr","https://neogen.store/product/netgate-4200-max-pfsense-gateway/"
"3193","NT-CBL-GEN-001","Cat6a Shielded Bulk Cable (305m)","Networking | شبكات واتصالات","instock","849","","849","https://neogen.store/wp-content/uploads/NT-CBL-GEN-001-1.jpg?wsr","https://neogen.store/product/cat6a-shielded-bulk-cable-305m/"
"3192","NT-CBL-FSC-001","10G SFP+ DAC Twinax Cable (1m)","Networking | شبكات واتصالات","instock","139","","139","https://neogen.store/wp-content/uploads/NT-CBL-FSC-001-1.jpg?wsr","https://neogen.store/product/10g-sfp-dac-twinax-cable-1m/"
"3191","NT-SFP-FSC-001","FS.com 10GBASE-SR SFP+ Transceiver","Networking | شبكات واتصالات","instock","129","","129","https://neogen.store/wp-content/uploads/NT-SFP-FSC-001-1.jpg?wsr","https://neogen.store/product/fs-com-10gbase-sr-sfp-transceiver/"
"3190","NT-SRV-NVP-001","NavePoint 1U Cantilever Rack Shelf","Homelab | هوم لاب","instock","249","","249","https://neogen.store/wp-content/uploads/NT-SRV-NVP-001-1.jpg?wsr","https://neogen.store/product/navepoint-1u-cantilever-rack-shelf/"
"3189","NT-SRV-CBM-001","Cable Matters 24-Port Cat6 Patch Panel (1U)","Homelab | هوم لاب","instock","239","","239","https://neogen.store/wp-content/uploads/NT-SRV-CBM-001-1.jpg?wsr","https://neogen.store/product/cable-matters-24-port-cat6-patch-panel-1u/"
"3188","NT-SRV-STC-001","StarTech RK12WALLOA 12U Wall-Mount Rack","Homelab | هوم لاب","instock","1399","","1399","https://neogen.store/wp-content/uploads/NT-SRV-STC-001-1.jpg?wsr","https://neogen.store/product/startech-rk12walloa-12u-wall-mount-rack/"
"3187","NT-UPS-APC-002","APC Back-UPS Pro BX1500M (Tower)","Homelab | هوم لاب","instock","1839","1599","1599","https://neogen.store/wp-content/uploads/NT-UPS-APC-002-1.jpg?wsr","https://neogen.store/product/apc-back-ups-pro-bx1500m-tower/"
"3186","NT-UPS-CYB-001","CyberPower OR1500LCDRM1U (1500VA 1U)","Homelab | هوم لاب","instock","2419","2099","2099","https://neogen.store/wp-content/uploads/NT-UPS-CYB-001-1.jpg?wsr","https://neogen.store/product/cyberpower-or1500lcdrm1u-1500va-1u/"
"3185","NT-UPS-APC-001","APC Smart-UPS SMT1500RM2UC (1500VA Rack)","Homelab | هوم لاب","instock","4899","","4899","https://neogen.store/wp-content/uploads/NT-UPS-APC-001-1.jpg?wsr","https://neogen.store/product/apc-smart-ups-smt1500rm2uc-1500va-rack/"
"3184","NT-NAS-QNP-002","QNAP TS-262-4G (2-Bay)","Homelab | هوم لاب","instock","1899","","1899","https://neogen.store/wp-content/uploads/NT-NAS-QNP-002-1.jpg?wsr","https://neogen.store/product/qnap-ts-262-4g-2-bay/"
"3183","NT-NAS-QNP-001","QNAP TS-464-8G (4-Bay)","Homelab | هوم لاب","instock","2799","","2799","https://neogen.store/wp-content/uploads/NT-NAS-QNP-001-1.jpg?wsr","https://neogen.store/product/qnap-ts-464-8g-4-bay/"
"3182","NT-NAS-SYN-002","Synology DS925+ (4-Bay)","Homelab | هوم لاب","instock","3499","","3499","https://neogen.store/wp-content/uploads/NT-NAS-SYN-002-1.jpg?wsr","https://neogen.store/product/synology-ds925-4-bay/"
"3181","NT-NAS-SYN-001","Synology DS225+ (2-Bay)","Homelab | هوم لاب","instock","2419","2099","2099","https://neogen.store/wp-content/uploads/NT-NAS-SYN-001-1.jpg?wsr","https://neogen.store/product/synology-ds225-2-bay/"
"3180","NT-WAP-TPL-002","TP-Link Omada EAP650","Networking | شبكات واتصالات","instock","919","799","799","https://neogen.store/wp-content/uploads/NT-WAP-TPL-002-1.jpg?wsr","https://neogen.store/product/tp-link-omada-eap650/"
"3179","NT-WAP-TPL-001","TP-Link Omada EAP610","Networking | شبكات واتصالات","instock","689","599","599","https://neogen.store/wp-content/uploads/NT-WAP-TPL-001-1.jpg?wsr","https://neogen.store/product/tp-link-omada-eap610/"
"3178","NT-WAP-UBQ-002","Ubiquiti UniFi U7 Pro","Networking | شبكات واتصالات","instock","1609","1399","1399","https://neogen.store/wp-content/uploads/NT-WAP-UBQ-002-1.jpg?wsr","https://neogen.store/product/ubiquiti-unifi-u7-pro/"
"3177","NT-WAP-UBQ-001","Ubiquiti UniFi U6 Pro","Networking | شبكات واتصالات","instock","1149","999","999","https://neogen.store/wp-content/uploads/NT-WAP-UBQ-001-1.jpg?wsr","https://neogen.store/product/ubiquiti-unifi-u6-pro/"
"3176","NT-NET-UBQ-001","Ubiquiti USW-Pro-24-PoE","Networking | شبكات واتصالات","instock","3999","","3999","https://neogen.store/wp-content/uploads/NT-NET-UBQ-001-1.jpg?wsr","https://neogen.store/product/ubiquiti-usw-pro-24-poe/"
"3175","NT-NET-MKT-004","MikroTik CRS312-4C+8XG-RM","Networking | شبكات واتصالات","instock","2799","","2799","https://neogen.store/wp-content/uploads/NT-NET-MKT-004-1.jpg?wsr","https://neogen.store/product/mikrotik-crs312-4c8xg-rm/"
"3174","NT-NET-MKT-003","MikroTik CRS328-24P-4S+RM (PoE)","Networking | شبكات واتصالات","instock","3109","2699","2699","https://neogen.store/wp-content/uploads/NT-NET-MKT-003-1.jpg?wsr","https://neogen.store/product/mikrotik-crs328-24p-4srm-poe/"
"3173","NT-NET-MKT-002","MikroTik CRS326-24G-2S+RM","Networking | شبكات واتصالات","instock","1199","","1199","https://neogen.store/wp-content/uploads/NT-NET-MKT-002-1.jpg?wsr","https://neogen.store/product/mikrotik-crs326-24g-2srm/"
"3172","NT-NET-MKT-001","MikroTik CRS305-1G-4S+IN","Networking | شبكات واتصالات","instock","999","","999","https://neogen.store/wp-content/uploads/NT-NET-MKT-001-1.jpg?wsr","https://neogen.store/product/mikrotik-crs305-1g-4sin/"
"3171","SH-SWB-SWBT-003","SwitchBot Blind Tilt","Smart Home &amp; IoT | أتمتة المنزل الذكي","instock","479","","479","https://neogen.store/wp-content/uploads/SH-SWB-SWBT-003-1.jpg?wsr","https://neogen.store/product/switchbot-blind-tilt/"
"3170","SH-SWB-SWBT-002","SwitchBot Bot (Smart Button Pusher)","Smart Home &amp; IoT | أتمتة المنزل الذكي","instock","239","","239","https://neogen.store/wp-content/uploads/SH-SWB-SWBT-002-1.jpg?wsr","https://neogen.store/product/switchbot-bot-smart-button-pusher/"
"3169","SH-SWB-SWBT-001","SwitchBot Hub 2 (Matter Enabled)","Smart Home &amp; IoT | أتمتة المنزل الذكي","instock","559","479","479","https://neogen.store/wp-content/uploads/SH-SWB-SWBT-001-1.jpg?wsr","https://neogen.store/product/switchbot-hub-2-matter-enabled/"
"3168","SH-HUB-HUBI-001","Hubitat Elevation C-8 Pro","Smart Home &amp; IoT | أتمتة المنزل الذكي","instock","1199","","1199","https://neogen.store/wp-content/uploads/SH-HUB-HUBI-001-1.jpg?wsr","https://neogen.store/product/hubitat-elevation-c-8-pro/"
"3167","SH-HUB-HASS-001","Home Assistant Green","Smart Home &amp; IoT | أتمتة المنزل الذكي","instock","699","","699","https://neogen.store/wp-content/uploads/SH-HUB-HASS-001-1.jpg?wsr","https://neogen.store/product/home-assistant-green/"
"3166","SH-HUB-AQRA-001","Aqara Hub M3","Smart Home &amp; IoT | أتمتة المنزل الذكي","instock","1039","899","899","https://neogen.store/wp-content/uploads/SH-HUB-AQRA-001-1.jpg?wsr","https://neogen.store/product/aqara-hub-m3/"
"3165","SH-BLD-IKEA-001","IKEA FYRTUR Blackout Smart Roller Blind","Smart Home &amp; IoT | أتمتة المنزل الذكي","instock","1099","949","949","https://neogen.store/wp-content/uploads/SH-BLD-IKEA-001-1.jpg?wsr","https://neogen.store/product/ikea-fyrtur-blackout-smart-roller-blind/"
"3164","SH-BLD-SWBT-001","SwitchBot Curtain 3","Smart Home &amp; IoT | أتمتة المنزل الذكي","instock","649","","649","https://neogen.store/wp-content/uploads/SH-BLD-SWBT-001-1.jpg?wsr","https://neogen.store/product/switchbot-curtain-3/"
"3163","SH-VDB-EUFY-001","Eufy Video Doorbell E340 (Dual Camera)","Smart Home &amp; IoT | أتمتة المنزل الذكي","instock","999","","999","https://neogen.store/wp-content/uploads/SH-VDB-EUFY-001-1.jpg?wsr","https://neogen.store/product/eufy-video-doorbell-e340-dual-camera/"
"3162","SH-VDB-RING-001","Ring Battery Doorbell Plus","Smart Home &amp; IoT | أتمتة المنزل الذكي","instock","999","","999","https://neogen.store/wp-content/uploads/SH-VDB-RING-001-1.jpg?wsr","https://neogen.store/product/ring-battery-doorbell-plus/"
"3161","SH-CAM-RELK-001","Reolink Argus 4 Pro (4K)","Smart Home &amp; IoT | أتمتة المنزل الذكي","instock","1039","899","899","https://neogen.store/wp-content/uploads/SH-CAM-RELK-001-1.jpg?wsr","https://neogen.store/product/reolink-argus-4-pro-4k/"
"3160","SH-CAM-EUFY-001","Eufy eufyCam 3 (4K + HomeBase 3 Kit)","Smart Home &amp; IoT | أتمتة المنزل الذكي","instock","1649","","1649","https://neogen.store/wp-content/uploads/SH-CAM-EUFY-001-1.jpg?wsr","https://neogen.store/product/eufy-eufycam-3-4k-homebase-3-kit/"
"3159","SH-CAM-ARLO-001","Arlo Pro 5 2K Spotlight Camera","Smart Home &amp; IoT | أتمتة المنزل الذكي","instock","1549","","1549","https://neogen.store/wp-content/uploads/SH-CAM-ARLO-001-1.jpg?wsr","https://neogen.store/product/arlo-pro-5-2k-spotlight-camera/"
"3158","SH-CAM-RING-001","Ring Indoor Cam (2nd Gen)","Smart Home &amp; IoT | أتمتة المنزل الذكي","instock","479","","479","https://neogen.store/wp-content/uploads/SH-CAM-RING-001-1.jpg?wsr","https://neogen.store/product/ring-indoor-cam-2nd-gen/"
"3157","SH-PLG-MERS-001","Meross Smart Plug Mini MSS110 (HomeKit)","Smart Home &amp; IoT | أتمتة المنزل الذكي","instock","159","","159","https://neogen.store/wp-content/uploads/SH-PLG-MERS-001-1.jpg?wsr","https://neogen.store/product/meross-smart-plug-mini-mss110-homekit/"
"3156","SH-PLG-TPLK-001","TP-Link Tapo P125M Smart Plug (Matter, 2-pack)","Smart Home &amp; IoT | أتمتة المنزل الذكي","instock","149","","149","https://neogen.store/wp-content/uploads/SH-PLG-TPLK-001-1.jpg?wsr","https://neogen.store/product/tp-link-tapo-p125m-smart-plug-matter-2-pack/"
"3155","SH-THR-ECOB-001","Ecobee Smart Thermostat Premium","Smart Home &amp; IoT | أتمتة المنزل الذكي","instock","1549","","1549","https://neogen.store/wp-content/uploads/SH-THR-ECOB-001-1.jpg?wsr","https://neogen.store/product/ecobee-smart-thermostat-premium/"
"3154","SH-THR-NEST-001","Google Nest Learning Thermostat (4th Gen)","Smart Home &amp; IoT | أتمتة المنزل الذكي","instock","1699","","1699","https://neogen.store/wp-content/uploads/SH-THR-NEST-001-1.jpg?wsr","https://neogen.store/product/google-nest-learning-thermostat-4th-gen/"
"3153","SH-RVC-ECVX-001","Ecovacs Deebot X9 Pro Omni","Smart Home &amp; IoT | أتمتة المنزل الذكي","instock","5699","","5699","https://neogen.store/wp-content/uploads/SH-RVC-ECVX-001-1.jpg?wsr","https://neogen.store/product/ecovacs-deebot-x9-pro-omni/"
"3152","SH-RVC-DREM-001","Dreame L50 Ultra","Smart Home &amp; IoT | أتمتة المنزل الذكي","instock","4599","","4599","https://neogen.store/wp-content/uploads/SH-RVC-DREM-001-1.jpg?wsr","https://neogen.store/product/dreame-l50-ultra/"
"3151","SH-RVC-RBRC-001","Roborock Qrevo CurvX","Smart Home &amp; IoT | أتمتة المنزل الذكي","instock","4599","","4599","https://neogen.store/wp-content/uploads/SH-RVC-RBRC-001-1.jpg?wsr","https://neogen.store/product/roborock-qrevo-curvx/"
"3150","SH-LGT-GOVE-002","Govee Glide Hexagon Light Panels Ultra (10-pack)","Smart Home &amp; IoT | أتمتة المنزل الذكي","instock","1499","1299","1299","https://neogen.store/wp-content/uploads/SH-LGT-GOVE-002-1.jpg?wsr","https://neogen.store/product/govee-glide-hexagon-light-panels-ultra-10-pack/"
"3149","SH-LGT-GOVE-001","Govee RGBIC LED Strip M1 (5m)","Smart Home &amp; IoT | أتمتة المنزل الذكي","instock","459","399","399","https://neogen.store/wp-content/uploads/SH-LGT-GOVE-001-1.jpg?wsr","https://neogen.store/product/govee-rgbic-led-strip-m1-5m/"
