ID,Name,SKU,Regular_price_SAR,Sale_price_SAR,Effective_price_SAR,Face_value_USD,Face_value_SAR,Markup_over_face_value_pct,Severity,Issues_found,Suggested_action
87,MinisForum MS-01 (Homelab Server),NT-MPC-MNF-001,4599.0,,4599.0,,,,,,
88,TP-Link TL-SG1005P 5-Port PoE,NT-POE-TPL-001,299.0,,299.0,,,,,,
89,Ubiquiti USW-Lite-8-PoE,NT-POE-UBQ-001,849.0,,849.0,,,,,,
90,ATEN CS1924M 4-Port DP KVM,NT-KVM-ATN-001,2399.0,,2399.0,,,,,,
91,TESmart HKS0401A1U 4-Port HDMI KVM,NT-KVM-TES-001,689.0,,689.0,,,,,,
92,Fortinet FortiGate 60F,NT-FWL-FTN-001,6329.0,,6329.0,,,,,,
93,Netgate 2100 MAX pfSense+ Gateway,NT-FWL-NGT-002,2740.0,,2740.0,,,,,,
94,Netgate 4200 MAX pfSense+ Gateway,NT-FWL-NGT-001,3399.0,,3399.0,,,,,,
95,Cat6a Shielded Bulk Cable (305m),NT-CBL-GEN-001,740.0,,740.0,,,,,,
96,10G SFP+ DAC Twinax Cable (1m),NT-CBL-FSC-001,80.0,,80.0,,,,,,
97,FS.com 10GBASE-SR SFP+ Transceiver,NT-SFP-FSC-001,129.0,,129.0,,,,,,
98,NavePoint 1U Cantilever Rack Shelf,NT-SRV-NVP-001,249.0,,249.0,,,,,,
99,Cable Matters 24-Port Cat6 Patch Panel (1U),NT-SRV-CBM-001,239.0,,239.0,,,,,,
100,StarTech RK12WALLOA 12U Wall-Mount Rack,NT-SRV-STC-001,1399.0,,1399.0,,,,,,
101,APC Back-UPS Pro BX1500M (Tower),NT-UPS-APC-002,1839.0,,1839.0,,,,,,
102,CyberPower OR1500LCDRM1U (1500VA 1U),NT-UPS-CYB-001,2419.0,,2419.0,,,,,,
103,APC Smart-UPS SMT1500RM2UC (1500VA Rack),NT-UPS-APC-001,4899.0,,4899.0,,,,,,
104,QNAP TS-262-4G (2-Bay),NT-NAS-QNP-002,1899.0,,1899.0,,,,,,
105,QNAP TS-464-8G (4-Bay),NT-NAS-QNP-001,2799.0,,2799.0,,,,,,
106,Synology DS925+ (4-Bay),NT-NAS-SYN-002,3499.0,,3499.0,,,,,,
107,Synology DS225+ (2-Bay),NT-NAS-SYN-001,2419.0,,2419.0,,,,,,
108,TP-Link Omada EAP650,NT-WAP-TPL-002,919.0,,919.0,,,,,,
109,TP-Link Omada EAP610,NT-WAP-TPL-001,689.0,,689.0,,,,,,
110,Ubiquiti UniFi U7 Pro,NT-WAP-UBQ-002,1609.0,,1609.0,,,,,,
111,Ubiquiti UniFi U6 Pro,NT-WAP-UBQ-001,910.0,,910.0,,,,,,
112,Ubiquiti USW-Pro-24-PoE,NT-NET-UBQ-001,2370.0,,2370.0,,,,,,
113,MikroTik CRS312-4C+8XG-RM,NT-NET-MKT-004,2799.0,,2799.0,,,,,,
114,MikroTik CRS328-24P-4S+RM (PoE),NT-NET-MKT-003,3109.0,,3109.0,,,,,,
115,MikroTik CRS326-24G-2S+RM,NT-NET-MKT-002,1199.0,,1199.0,,,,,,
116,MikroTik CRS305-1G-4S+IN,NT-NET-MKT-001,999.0,,999.0,,,,,,
117,SwitchBot Blind Tilt,SH-SWB-SWBT-003,479.0,,479.0,,,,,,
118,SwitchBot Bot (Smart Button Pusher),SH-SWB-SWBT-002,239.0,,239.0,,,,,,
119,SwitchBot Hub 2 (Matter Enabled),SH-SWB-SWBT-001,559.0,,559.0,,,,,,
120,Hubitat Elevation C-8 Pro,SH-HUB-HUBI-001,1199.0,,1199.0,,,,,,
121,Home Assistant Green,SH-HUB-HASS-001,890.0,,890.0,,,,,,
122,Aqara Hub M3,SH-HUB-AQRA-001,1039.0,,1039.0,,,,,,
123,IKEA FYRTUR Blackout Smart Roller Blind,SH-BLD-IKEA-001,1099.0,,1099.0,,,,,,
124,SwitchBot Curtain 3,SH-BLD-SWBT-001,649.0,,649.0,,,,,,
125,Eufy Video Doorbell E340 (Dual Camera),SH-VDB-EUFY-001,999.0,,999.0,,,,,,
126,Ring Battery Doorbell Plus,SH-VDB-RING-001,999.0,,999.0,,,,,,
127,Reolink Argus 4 Pro (4K),SH-CAM-RELK-001,1039.0,,1039.0,,,,,,
128,Eufy eufyCam 3 (4K + HomeBase 3 Kit),SH-CAM-EUFY-001,1649.0,,1649.0,,,,,,
129,Arlo Pro 5 2K Spotlight Camera,SH-CAM-ARLO-001,1549.0,,1549.0,,,,,,
130,Ring Indoor Cam (2nd Gen),SH-CAM-RING-001,479.0,,479.0,,,,,,
131,Meross Smart Plug Mini MSS110 (HomeKit),SH-PLG-MERS-001,159.0,,159.0,,,,,,
132,"TP-Link Tapo P125M Smart Plug (Matter, 2-pack)",SH-PLG-TPLK-001,149.0,,149.0,,,,,,
133,Ecobee Smart Thermostat Premium,SH-THR-ECOB-001,1549.0,,1549.0,,,,,,
134,Google Nest Learning Thermostat (4th Gen),SH-THR-NEST-001,1699.0,,1699.0,,,,,,
135,Ecovacs Deebot X9 Pro Omni,SH-RVC-ECVX-001,5699.0,,5699.0,,,,,,
136,Dreame L50 Ultra,SH-RVC-DREM-001,4599.0,,4599.0,,,,,,
137,Roborock Qrevo CurvX,SH-RVC-RBRC-001,4599.0,,4599.0,,,,,,
138,Govee Glide Hexagon Light Panels Ultra (10-pack),SH-LGT-GOVE-002,1499.0,,1499.0,,,,,,
139,Govee RGBIC LED Strip M1 (5m),SH-LGT-GOVE-001,459.0,,459.0,,,,,,
140,LIFX Color A19 1100lm Bulb,SH-LGT-LIFX-001,329.0,,329.0,,,,,,
141,Philips Hue Gradient Lightstrip (2m),SH-LGT-PHUE-002,1149.0,,1149.0,,,,,,
142,Philips Hue Starter Kit (3x A19 + Bridge),SH-LGT-PHUE-001,899.0,,899.0,,,,,,
143,August Wi-Fi Smart Lock (4th Gen),SH-LCK-AUGS-001,1499.0,,1499.0,,,,,,
144,Aqara Smart Lock U200,SH-LCK-AQRA-001,1439.0,,1439.0,,,,,,
145,Yale Assure Lock 2 Wi-Fi,SH-LCK-YALE-001,1549.0,,1549.0,,,,,,
146,Google Nest Hub (2nd Gen),SH-DSP-GGLE-001,699.0,,699.0,,,,,,
147,Amazon Echo Show 8 (3rd Gen),SH-DSP-AMZN-001,999.0,,999.0,,,,,,
148,Amazon Echo Dot (5th Gen),SH-SPK-AMZN-002,459.0,,459.0,,,,,,
149,Google Nest Audio,SH-SPK-GGLE-001,809.0,,809.0,,,,,,
150,Apple HomePod Mini,SH-SPK-APPL-001,699.0,,699.0,,,,,,
151,Amazon Echo (4th Gen),SH-SPK-AMZN-001,699.0,,699.0,,,,,,
152,Eufy Video Doorbell S330 - Dual Camera Smart Doorbell (2K + Package Cam),NG-SEC-007,1449.0,,1449.0,,,,,,
153,Ajax Hub 2 Plus - Professional Wireless Smart Alarm System,NG-SEC-006,2499.0,,2499.0,,,,,,
154,Reolink 16-Channel PoE NVR (RLN16-410) - 4K Network Video Recorder,NG-SEC-005,1599.0,,1599.0,,,,,,
155,Ubiquiti UniFi Protect G4 Doorbell Pro - 5MP Smart Doorbell with Fingerprint Reader,NG-SEC-004,3140.0,,3140.0,,,,,,
156,Hikvision DS-2CD2143G2-I - 4MP AcuSense Dome Camera,NG-SEC-003,749.0,,749.0,,,,,,
157,Reolink Argus 4 Pro - Solar-Powered Wireless 4K Security Camera,NG-SEC-002,1199.0,,1199.0,,,,,,
158,Reolink RLC-810A - 4K PoE AI Security Camera,NG-SEC-001,549.0,,549.0,,,,,,
159,DJI Pocket 3 - Pocket-Sized Gimbal Camera with 1-Inch Sensor,NG-DRN-008,3449.0,,3449.0,,,,,,
160,"Roborock S8 MaxV Ultra - Smart Robot Vacuum with 10,000Pa Suction",NG-DRN-007,8859.0,,8859.0,,,,,,
161,FIMI X8 Mini V2 - 4K Drone at 245g with Competitive Pricing,NG-DRN-006,2399.0,,2399.0,,,,,,
162,Insta360 X4 - 8K 360-Degree Camera,NG-DRN-005,3499.0,,3499.0,,,,,,
163,DJI RS 4 - 3-Axis Gimbal Stabilizer for Professional Cameras,NG-DRN-004,3099.0,,3099.0,,,,,,
164,DJI Osmo Action 5 Pro - 4K/120fps Waterproof Action Camera,NG-DRN-003,2499.0,,2499.0,,,,,,
165,DJI Avata 2 - Immersive FPV Drone with Goggles,NG-DRN-002,4099.0,,4099.0,,,,,,
166,DJI Mini 4 Pro - Sub-249g Drone with 4K/60fps Camera,NG-DRN-001,7019.0,,7019.0,,,,,,
167,HDMI 2.1 8K Fiber Optic Cable (10m) - Zero Signal Loss,NG-CBL-008,359.0,,359.0,,,,,,
168,DAC SFP+ 10G Direct Attach Cable (3m) - Direct Switch-to-Switch Connection,NG-CBL-007,229.0,,229.0,,,,,,
169,Ugreen 5-in-1 USB-C Dock - HDMI 4K + Ethernet + USB 3.0,NG-CBL-006,289.0,,289.0,,,,,,
170,Baseus USB-C 100W Charging Cable (2m) - Fast Charge for Laptops and Phones,NG-CBL-005,109.0,,109.0,,,,,,
171,Ugreen Cat 8 Ethernet Cable (5m) - 40Gbps Network Cable,NG-CBL-004,149.0,,149.0,,,,,,
172,Cable Matters Thunderbolt 4 Cable (2m) - 40Gbps with 100W Charging,NG-CBL-003,419.0,,419.0,,,,,,
173,Anker USB-C Hub 7-in-1 - Multi-Port Adapter for Laptops,NG-CBL-002,349.0,,349.0,,,,,,
174,Ugreen USB-C to HDMI 2.1 Cable (2m) - 8K@60Hz Output,NG-CBL-001,219.0,,219.0,,,,,,
175,Phrozen Sonic Mini 8K S - 22-Micron Pixel Resin 3D Printer,NG-3DP-008,2899.0,,2899.0,,,,,,
176,Creality Sonic Pad - Klipper Tablet to Supercharge Your 3D Printer,NG-3DP-007,1049.0,,1049.0,,,,,,
177,BIQU H2 V2S Direct Drive Extruder - Lightweight Upgrade for Your 3D Printer,NG-3DP-006,540.0,,540.0,,,,,,
178,Elegoo Saturn 3 Ultra - 12K Resin 3D Printer with 10-inch Screen,NG-3DP-005,3499.0,,3499.0,,,,,,
179,eSUN PLA+ Filament 10-Color Pack - 10kg Total for 3D Printing,NG-3DP-004,1299.0,,1299.0,,,,,,
180,Creality K1 Max - Large Format 3D Printer at 600mm/s,NG-3DP-003,3380.0,,3380.0,,,,,,
181,Bambu Lab AMS - Automatic Material System for Multi-Color 3D Printing,NG-3DP-002,1250.0,,1250.0,,,,,,
182,Bambu Lab P1S 3D Printer - Blazing Speed and Pro Quality in an Enclosed Design,NG-3DP-001,5099.0,,5099.0,,,,,,
183,WD Red Plus 8TB NAS Hard Drive - Built for Always-On NAS Systems,NG-ACC-010,1449.0,,1449.0,,,,,,
184,Ugreen Nexode 100W GaN Charger - 4-Port Gallium Nitride Fast Charger,NG-ACC-009,439.0,,439.0,,,,,,
185,CalDigit TS4 Thunderbolt 4 Dock - 18-Port Professional Docking Station,NG-ACC-008,2170.0,,2170.0,,,,,,
186,Anker PowerConf S330 USB Speakerphone - Smart Noise-Canceling Conference Speaker,NG-ACC-007,599.0,,599.0,,,,,,
187,"Samsung T7 Shield 2TB Portable SSD - Rugged, Fast, and Secure",NG-ACC-006,1299.0,,1299.0,,,,,,
188,Elegoo Mars 4 Ultra Resin 3D Printer - 9K Resolution for Stunning Detail,NG-MKR-010,2399.0,,2399.0,,,,,,
189,ESP32-S3 DevKit 10-Pack - Wi-Fi + Bluetooth 5 Microcontroller for Smart Projects,NG-MKR-009,809.0,,809.0,,,,,,
190,Creality Ender-3 V3 SE - The Best Entry-Level 3D Printer,NG-MKR-008,1250.0,,1250.0,,,,,,
191,Prusa Mini+ 3D Printer - Professional Precision in a Compact Package,NG-MKR-007,3799.0,,3799.0,,,,,,
192,Arduino Mega 2560 Rev3 - The Ultimate Microcontroller Board for Advanced Projects,NG-MKR-006,549.0,,549.0,,,,,,
193,Elgato Wave:3 - Premium USB Condenser Microphone for Streaming,NG-GAM-012,1329.0,,1329.0,,,,,,
194,SteelSeries QcK Heavy XXL - Extra-Large Gaming Mouse Pad,NG-GAM-011,200.0,,200.0,,,,,,
195,BenQ Zowie XL2546K - 240Hz Esports Gaming Monitor,NG-GAM-010,3449.0,,3449.0,,,,,,
196,Corsair K70 RGB Pro - Legendary Mechanical Gaming Keyboard,NG-GAM-009,999.0,,999.0,,,,,,
197,Razer Basilisk V3 X HyperSpeed - Versatile Wireless Gaming Mouse,NG-GAM-008,649.0,,649.0,,,,,,
198,8BitDo Arcade Stick - Authentic Arcade Experience at Home,NG-GAM-007,530.0,,530.0,,,,,,
199,SteelSeries Arctis Nova 7 - Multi-Platform Wireless Gaming Headset,NG-GAM-006,1199.0,,1199.0,,,,,,
200,Elgato HD60 X - External Capture Card for Streaming and Recording,NG-GAM-005,1249.0,,1249.0,,,,,,
201,Razer BlackWidow V4 75% - Compact Mechanical Gaming Keyboard,NG-GAM-004,1199.0,,1199.0,,,,,,
202,HyperX Cloud III Wireless - Premium Wireless Gaming Headset,NG-GAM-003,1149.0,,1149.0,,,,,,
203,Razer DeathAdder V3 HyperSpeed - Ultra-Light Wireless Gaming Mouse,NG-GAM-002,979.0,,979.0,,,,,,
204,8BitDo Ultimate C Bluetooth Controller - Multi-Platform Gaming,NG-GAM-001,180.0,,180.0,,,,,,
205,Ubiquiti UniFi Cloud Gateway Ultra - All-in-One UniFi Gateway,NG-NET-012,680.0,,680.0,,,,,,
206,TP-Link Archer AXE75 - AXE5400 Tri-Band WiFi 6E Router,NG-NET-011,1499.0,,1499.0,,,,,,
207,Ubiquiti UniFi USW-Flex-Mini - Ultra-Compact 5-Port Managed Switch,NG-NET-010,219.0,,219.0,,,,,,
208,Netgear GS308E - 8-Port Gigabit Plus Smart Managed Switch,NG-NET-009,209.0,,209.0,,,,,,
209,MikroTik hEX S (RB760iGS) - 5-Port Gigabit Router with SFP and USB,NG-NET-008,649.0,,649.0,,,,,,
210,Ubiquiti EdgeRouter X - Advanced Gigabit Router in a Pocket-Sized Form,NG-NET-007,549.0,,549.0,,,,,,
211,TP-Link TL-SG108E - 8-Port Gigabit Easy Smart Managed Switch,NG-NET-006,229.0,,229.0,,,,,,
212,Ubiquiti UniFi 6 Lite - WiFi 6 Access Point (AX1500),NG-NET-005,849.0,,849.0,,,,,,
213,MikroTik CRS305-1G-4S+IN - 4-Port 10G SFP+ Desktop Switch,NG-NET-004,1149.0,,1149.0,,,,,,
214,Ubiquiti UniFi Switch Lite 16 PoE - 16-Port Managed Gigabit PoE+ Switch,NG-NET-003,1399.0,,1399.0,,,,,,
215,TP-Link Deco XE75 (3-Pack) - AXE5400 WiFi 6E Whole-Home Mesh System,NG-NET-002,2419.0,,2419.0,,,,,,
216,MikroTik hAP ax3 - WiFi 6 Router with RouterOS Power,NG-NET-001,799.0,,799.0,,,,,,
217,Sonoff SNZB-02D Zigbee Temperature &amp; Humidity Sensor with LCD Display,NG-SH-015,159.0,,159.0,,,,,,
218,MOES Zigbee Smart Thermostat (BHT-002-GCLZB) - Programmable HVAC Control,NG-SH-014,439.0,,439.0,,,,,,
219,Zemismart Zigbee Smart Tubular Motor (ZM25TQ) - Heavy-Duty Roller Blind Motor,NG-SH-013,699.0,,699.0,,,,,,
220,Aqara Roller Shade Driver E1 (RSD-M01) - Smart Roller Blind Motor with HomeKit,NG-SH-012,689.0,,689.0,,,,,,
221,SwitchBot Bot (S1) - Robotic Finger That Makes Any Button Smart,NG-SH-011,279.0,,279.0,,,,,,
222,Eve Energy Smart Plug (Matter/Thread) - Next-Gen Smart Plug with Power Monitoring,NG-SH-010,399.0,,399.0,,,,,,
223,Aqara Motion Sensor P1 (MS-S02) - Wide-Angle 170° Smart PIR Sensor,NG-SH-009,279.0,,279.0,,,,,,
224,Shelly Plus 1PM - Smart Wi-Fi Relay with Power Monitoring,NG-SH-008,189.0,,189.0,,,,,,
225,SwitchBot Curtain 3 (W2400000) - Turn Any Curtain Smart in Minutes,NG-SH-007,639.0,,639.0,,,,,,
226,Aqara Hub M2 (HM2-G01) - Multi-Protocol Smart Home Gateway,NG-SH-006,499.0,,499.0,,,,,,
227,Ubiquiti UniFi Switch Pro 24 PoE (USW-Pro-24-PoE) - Smart Managed PoE+ Switch,NG-ENT-010,4199.0,,4199.0,,,,,,
228,HPE ProLiant DL380 Gen10 Server (Refurbished) - Data Center Power at Smart Pricing,NG-ENT-009,8630.0,,8630.0,,,,,,
229,APC Smart-UPS 1500VA LCD RM 2U (SMT1500RMI2U) - Pure Sine Wave Rack UPS,NG-ENT-008,4899.0,,4899.0,,,,,,
230,MikroTik CRS326-24G-2S+RM 24-Port Managed Gigabit Switch with 10G SFP+,NG-ENT-007,1110.0,,1110.0,,,,,,
231,Synology DiskStation DS1621+ 6-Bay NAS - Enterprise Storage Powerhouse,NG-ENT-006,5599.0,,5599.0,,,,,,
233,Seagate IronWolf 18TB NAS Internal Hard Drive - Built for 24/7 Performance,NG-ACC-004,3109.0,,3109.0,,,,,,
234,Mark Ryden Anti-theft Laptop Backpack - Maximum Protection for Your Tech,NG-ACC-003,479.0,,479.0,,,,,,
235,Anker 735 GaN 65W Charger - Compact 3-Port Fast Charger,NG-ACC-002,379.0,,379.0,,,,,,
236,Baseus Blade 100W Power Bank - Ultra-Slim Laptop Portable Charger,NG-ACC-001,499.0,,499.0,,,,,,
237,Elgato Stream Deck MK.2 - Professional Productivity Console with 15 LCD Keys,NG-MKR-005,1439.0,,1439.0,,,,,,
238,Meta Quest 3 128GB - The Most Powerful Mixed Reality Headset,NG-MKR-004,3060.0,,3060.0,,,,,,
239,Keychron Q1 - Premium Full Aluminum Custom Mechanical Keyboard,NG-MKR-003,1449.0,,1449.0,,,,,,
240,Raspberry Pi 5 Ultimate Starter Kit - Everything You Need in One Box,NG-MKR-002,1329.0,,1329.0,,,,,,
241,Raspberry Pi 5 8GB - The New Standard in Single Board Computing,NG-MKR-001,1039.0,,1039.0,,,,,,
242,Sonoff TX Ultimate (T5) Smart Wall Switch - Interactive Elegance with RGB,NG-SH-005,309.0,,309.0,,,,,,
243,Aqara Water Leak Sensor - Safeguard Your Home from Water Damage,NG-SH-004,259.0,,259.0,,,,,,
244,Broadlink RM4 Pro - Universal Smart Remote for IR &amp; RF Devices,NG-SH-003,359.0,,359.0,,,,,,
245,UniFi Protect G4 Pro Camera - 4K Ultra HD Surveillance Excellence,NG-SH-002,2520.0,,2520.0,,,,,,
246,Aqara Smart Door Lock A100 - Elite Security with Apple HomeKey Support,NG-SH-001,1649.0,,1649.0,,,,,,
247,Asustor Flashstor 6 (FS6706T) - All-NVMe SSD NAS for Extreme Performance,NG-ENT-005,3099.0,,3099.0,,,,,,
248,UniFi 6 Long-Range (U6-LR) - High-Performance WiFi 6 Access Point,NG-ENT-004,1180.0,,1180.0,,,,,,
249,Ubiquiti UniFi Dream Machine Pro (UDM-Pro) - All-in-One Enterprise Network Console,NG-ENT-003,2570.0,,2570.0,,,,,,
250,Asustor Lockerstor 4 (AS6604T) - Professional 4-Bay NAS for Creators,NG-ENT-002,3099.0,,3099.0,,,,,,
251,"Dell PowerEdge R730 Refurbished Server - Enterprise Power, Smart Investment",NG-ENT-001,8099.0,,8099.0,,,,,,
486,PlayStation Store $10 (US),GC-PSN-US-10,40.0,,40.0,10.0,37.5,6.7,,,
487,PlayStation Store $25 (US),GC-PSN-US-25,100.0,,100.0,25.0,93.75,6.7,,,
488,PlayStation Store $50 (US),GC-PSN-US-50,201.0,,201.0,50.0,187.5,7.2,,,
489,PlayStation Store $100 (US),GC-PSN-US-100,401.0,,401.0,100.0,375.0,6.9,,,
490,PlayStation Store $10 (KSA),GC-PSN-KSA-10,50.0,,50.0,10.0,37.5,33.3,MEDIUM,Unusually high markup (33.3% over face value),Verify supplier cost; consider lowering for competitiveness
491,PlayStation Store $25 (KSA),GC-PSN-KSA-25,100.0,,100.0,25.0,93.75,6.7,,,
492,PlayStation Store $50 (KSA),GC-PSN-KSA-50,240.0,,240.0,50.0,187.5,28.0,,,
493,PlayStation Store $100 (KSA),GC-PSN-KSA-100,470.0,,470.0,100.0,375.0,25.3,,,
494,Xbox Live $10 (US),GC-XBX-US-10,40.0,,40.0,10.0,37.5,6.7,,,
495,Xbox Live $25 (US),GC-XBX-US-25,100.0,,100.0,25.0,93.75,6.7,,,
496,Xbox Live $50 (US),GC-XBX-US-50,201.0,,201.0,50.0,187.5,7.2,,,
497,Xbox Live $100 (US),GC-XBX-US-100,401.0,,401.0,100.0,375.0,6.9,,,
498,Xbox Live $10 (KSA),GC-XBX-KSA-10,40.0,,40.0,10.0,37.5,6.7,,,
499,Xbox Live $25 (KSA),GC-XBX-KSA-25,100.0,,100.0,25.0,93.75,6.7,,,
500,Xbox Live $50 (KSA),GC-XBX-KSA-50,201.0,,201.0,50.0,187.5,7.2,,,
501,Xbox Live $100 (KSA),GC-XBX-KSA-100,401.0,,401.0,100.0,375.0,6.9,,,
502,Xbox Live $10 (UK),GC-XBX-UK-10,40.0,,40.0,10.0,37.5,6.7,,,
503,Xbox Live $25 (UK),GC-XBX-UK-25,100.0,,100.0,25.0,93.75,6.7,,,
504,Xbox Live $50 (UK),GC-XBX-UK-50,201.0,,201.0,50.0,187.5,7.2,,,
505,Xbox Live $100 (UK),GC-XBX-UK-100,401.0,,401.0,100.0,375.0,6.9,,,
506,Steam Wallet $5 (Global),GC-STM-GLOBAL-5,20.0,,20.0,5.0,18.75,6.7,,,
507,Steam Wallet $10 (Global),GC-STM-GLOBAL-10,40.0,,40.0,10.0,37.5,6.7,,,
508,Steam Wallet $20 (Global),GC-STM-GLOBAL-20,80.0,,80.0,20.0,75.0,6.7,,,
509,Steam Wallet $50 (Global),GC-STM-GLOBAL-50,225.0,,225.0,50.0,187.5,20.0,,,
510,Steam Wallet $100 (Global),GC-STM-GLOBAL-100,401.0,,401.0,100.0,375.0,6.9,,,
512,Razer Gold $10 (Global),GC-RZR-GLOBAL-10,50.0,,50.0,10.0,37.5,33.3,MEDIUM,Unusually high markup (33.3% over face value),Verify supplier cost; consider lowering for competitiveness
513,Razer Gold $25 (Global),GC-RZR-GLOBAL-25,100.0,,100.0,25.0,93.75,6.7,,,
